Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","44","Barley","1966","1966","hg/ha","10714","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","44","Barley","1967","1967","hg/ha","11297","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","44","Barley","1968","1968","hg/ha","11388","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","44","Barley","1969","1969","hg/ha","11514","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","44","Barley","1970","1970","hg/ha","11746","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","44","Barley","1971","1971","hg/ha","11270","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","44","Barley","1972","1972","hg/ha","10938","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","44","Barley","1973","1973","hg/ha","11250","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","44","Barley","1974","1974","hg/ha","11170","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","44","Barley","1975","1975","hg/ha","12000","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","44","Barley","1976","1976","hg/ha","12903","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","44","Barley","1977","1977","hg/ha","9677","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","44","Barley","1978","1978","hg/ha","10484","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","44","Barley","1979","1979","hg/ha","10461","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","44","Barley","1980","1980","hg/ha","10490","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","44","Barley","1981","1981","hg/ha","10791","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","44","Barley","1982","1982","hg/ha","10739","Fc","Calculated data"
