State,County,Year,Crop,Area planted,Production,Yield,Region1,Region2
Jonglei ,Ayod ,2017,corn,"1,008",565,560.460371,jonglei,ayod
Jonglei ,Bor South ,2017,corn,"8,567","5,825",0.679938369,jonglei,bor south
Jonglei ,Canal/Pigi ,2017,corn,"1,214",612,504.0771765,jonglei,canalpigi
Jonglei ,Duk ,2017,corn,"2,212","1,239",0.560146467,jonglei,duk
Jonglei ,Fangak ,2017,corn,"2,336","1,308",0.559950345,jonglei,fangak
Jonglei ,Nyirol ,2017,corn,"4,168","2,667",0.63988388,jonglei,nyirol
Jonglei ,Pibor ,2017,corn,"7,964","6,371",0.799977399,jonglei,pibor
Jonglei ,Pochalla ,2017,corn,"5,994","5,275",0.880048715,jonglei,pochalla
Jonglei ,Twic East ,2017,corn,"6,287","3,521",0.560051534,jonglei,twic east
Jonglei ,Uror ,2017,corn,"9,034","4,698",0.520040735,jonglei,uror
Lakes,Awerial ,2010,corn,"5,846","4,209",0.719984263,lakes,awerial
Lakes,Cueibet ,2010,corn,"17,883","17,168",0.960018118,lakes,cueibet
Lakes,Rumbek Centre ,2010,corn,"14,925","16,716",1.119999196,lakes,rumbek centre
Lakes,Rumbek East ,2010,corn,"14,008","15,689",1.120001999,lakes,rumbek east
Lakes,Rumbek North ,2010,corn,"4,002","4,482",1.119937033,lakes,rumbek north
Lakes,Wulu ,2010,corn,"8,230","7,901",0.960024787,lakes,wulu
Lakes,Yirol East ,2010,corn,"10,567","8,454",0.800039746,lakes,yirol east
Lakes,Yirol West ,2010,corn,"18,016","17,296",0.960035746,lakes,yirol west
Lakes,Awerial ,2011,corn,"10,323","8,258",0.799963189,lakes,awerial
Lakes,Cueibet ,2011,corn,"23,025","22,104",0.960000174,lakes,cueibet
Lakes,Rumbek Centre ,2011,corn,"10,387","9,971",0.959950323,lakes,rumbek centre
Lakes,Rumbek East ,2011,corn,"14,997","14,397",0.959992265,lakes,rumbek east
Lakes,Rumbek North ,2011,corn,"2,748","2,198",0.799861723,lakes,rumbek north
Lakes,Wulu ,2011,corn,"10,173","9,766",0.959992529,lakes,wulu
Lakes,Yirol East ,2011,corn,"10,884","10,449",0.960033443,lakes,yirol east
Lakes,Yirol West ,2011,corn,"14,710","14,121",0.959959484,lakes,yirol west
Lakes,Awerial ,2012,corn,"7,291","5,833",0.800030174,lakes,awerial
Lakes,Cueibet ,2012,corn,"25,521","24,500",0.959993887,lakes,cueibet
Lakes,Rumbek Centre ,2012,corn,"14,409","12,680",0.880006385,lakes,rumbek centre
Lakes,Rumbek East ,2012,corn,"17,490","16,790",0.959977359,lakes,rumbek east
Lakes,Rumbek North ,2012,corn,"3,972","3,178",0.800105738,lakes,rumbek north
Lakes,Wulu ,2012,corn,"11,565","11,103",0.960052226,lakes,wulu
Lakes,Yirol East ,2012,corn,"13,540","11,916",0.88005997,lakes,yirol east
Lakes,Yirol West ,2012,corn,"22,965","20,209",0.879991814,lakes,yirol west
Lakes,Awerial ,2013,corn,"13,910","11,128",0.800001438,lakes,awerial
Lakes,Cueibet ,2013,corn,"25,843","24,809",0.95998932,lakes,cueibet
Lakes,Rumbek Centre ,2013,corn,"13,257","11,666",0.879988836,lakes,rumbek centre
Lakes,Rumbek East ,2013,corn,"18,678","17,931",0.960006639,lakes,rumbek east
Lakes,Rumbek North ,2013,corn,"4,269","4,098",0.959944719,lakes,rumbek north
Lakes,Wulu ,2013,corn,"10,516","9,254",0.879993534,lakes,wulu
Lakes,Yirol East ,2013,corn,"14,493","12,753",0.879942869,lakes,yirol east
Lakes,Yirol West ,2013,corn,"23,566","20,738",0.879997114,lakes,yirol west
Lakes,Awerial ,2014,corn,"5,846","4,209",0.719984263,lakes,awerial
Lakes,Cueibet ,2014,corn,"17,883","17,168",0.960018118,lakes,cueibet
Lakes,Rumbek Centre ,2014,corn,"14,925","16,716",1.119999196,lakes,rumbek centre
Lakes,Rumbek East ,2014,corn,"14,008","15,689",1.120001999,lakes,rumbek east
Lakes,Rumbek North ,2014,corn,"4,002","4,482",1.119937033,lakes,rumbek north
Lakes,Wulu ,2014,corn,"8,230","7,901",0.960024787,lakes,wulu
Lakes,Yirol East ,2014,corn,"10,567","8,454",0.800039746,lakes,yirol east
Lakes,Yirol West ,2014,corn,"18,016","17,296",0.960035746,lakes,yirol west
Lakes,Awerial ,2015,corn,"10,323","8,258",0.799963189,lakes,awerial
Lakes,Cueibet ,2015,corn,"23,025","22,104",0.960000174,lakes,cueibet
Lakes,Rumbek Centre ,2015,corn,"10,387","9,971",0.959950323,lakes,rumbek centre
Lakes,Rumbek East ,2015,corn,"14,997","14,397",0.959992265,lakes,rumbek east
Lakes,Rumbek North ,2015,corn,"2,748","2,198",0.799861723,lakes,rumbek north
Lakes,Wulu ,2015,corn,"10,173","9,766",0.959992529,lakes,wulu
Lakes,Yirol East ,2015,corn,"10,884","10,449",0.960033443,lakes,yirol east
Lakes,Yirol West ,2015,corn,"14,710","14,121",0.959959484,lakes,yirol west
Lakes,Awerial ,2016,corn,"7,291","5,833",0.800030174,lakes,awerial
Lakes,Cueibet ,2016,corn,"25,521","24,500",0.959993887,lakes,cueibet
Lakes,Rumbek Centre ,2016,corn,"14,409","12,680",0.880006385,lakes,rumbek centre
Lakes,Rumbek East ,2016,corn,"17,490","16,790",0.959977359,lakes,rumbek east
Lakes,Rumbek North ,2016,corn,"3,972","3,178",0.800105738,lakes,rumbek north
Lakes,Wulu ,2016,corn,"11,565","11,103",0.960052226,lakes,wulu
Lakes,Yirol East ,2016,corn,"13,540","11,916",0.88005997,lakes,yirol east
Lakes,Yirol West ,2016,corn,"22,965","20,209",0.879991814,lakes,yirol west
Lakes,Awerial ,2017,corn,"13,910","11,128",0.800001438,lakes,awerial
Lakes,Cueibet ,2017,corn,"25,843","24,809",0.95998932,lakes,cueibet
Lakes,Rumbek Centre ,2017,corn,"13,257","11,666",0.879988836,lakes,rumbek centre
Lakes,Rumbek East ,2017,corn,"18,678","17,931",0.960006639,lakes,rumbek east
Lakes,Rumbek North ,2017,corn,"4,269","4,098",0.959944719,lakes,rumbek north
Lakes,Wulu ,2017,corn,"10,516","9,254",0.879993534,lakes,wulu
Lakes,Yirol East ,2017,corn,"14,493","12,753",0.879942869,lakes,yirol east
Lakes,Yirol West ,2017,corn,"23,566","20,738",0.879997114,lakes,yirol west
Northern Bahr El Ghazal ,Aweil Centre ,2010,corn,"5,958","5,720",0.96005438,northern bahr el ghazal,aweil centre
Northern Bahr El Ghazal ,Aweil East ,2010,corn,"55,093","44,075",0.800011254,northern bahr el ghazal,aweil east
Northern Bahr El Ghazal ,Aweil North ,2010,corn,"25,346","22,305",0.880020989,northern bahr el ghazal,aweil north
Northern Bahr El Ghazal ,Aweil South ,2010,corn,"11,836","11,362",0.959953025,northern bahr el ghazal,aweil south
Northern Bahr El Ghazal ,Aweil West ,2010,corn,"29,497","29,025",0.983998427,northern bahr el ghazal,aweil west
Northern Bahr El Ghazal ,Aweil Centre ,2011,corn,"11,716","11,248",0.960054967,northern bahr el ghazal,aweil centre
Northern Bahr El Ghazal ,Aweil East ,2011,corn,"55,170","39,722",0.719993257,northern bahr el ghazal,aweil east
Northern Bahr El Ghazal ,Aweil North ,2011,corn,"31,645","22,784",0.719988245,northern bahr el ghazal,aweil north
Northern Bahr El Ghazal ,Aweil South ,2011,corn,"14,629","14,044",0.960011211,northern bahr el ghazal,aweil south
Northern Bahr El Ghazal ,Aweil West ,2011,corn,"33,757","32,407",0.960008413,northern bahr el ghazal,aweil west
Northern Bahr El Ghazal ,Aweil Centre ,2012,corn,"12,294","11,311",0.920042947,northern bahr el ghazal,aweil centre
Northern Bahr El Ghazal ,Aweil East ,2012,corn,"59,321","37,965",0.63999319,northern bahr el ghazal,aweil east
Northern Bahr El Ghazal ,Aweil North ,2013,corn,"34,160","28,694",0.839988759,northern bahr el ghazal,aweil north
Northern Bahr El Ghazal ,Aweil South ,2012,corn,"14,702","12,938",0.88001714,northern bahr el ghazal,aweil south
Northern Bahr El Ghazal ,Aweil West ,2012,corn,"36,181","33,286",0.919985849,northern bahr el ghazal,aweil west
Northern Bahr El Ghazal ,Aweil Centre ,2013,corn,"11,681","10,279",0.879977057,northern bahr el ghazal,aweil centre
Northern Bahr El Ghazal ,Aweil East ,2013,corn,"56,544","40,711",0.719988469,northern bahr el ghazal,aweil east
Northern Bahr El Ghazal ,Aweil North ,2013,corn,"35,251","29,611",0.840004993,northern bahr el ghazal,aweil north
Northern Bahr El Ghazal ,Aweil South ,2013,corn,"16,287","16,195",0.994351358,northern bahr el ghazal,aweil south
Northern Bahr El Ghazal ,Aweil West ,2013,corn,"32,792","32,320",0.985606289,northern bahr el ghazal,aweil west
Northern Bahr El Ghazal ,Aweil Centre ,2014,corn,"5,958","5,720",0.96005438,northern bahr el ghazal,aweil centre
Northern Bahr El Ghazal ,Aweil East ,2014,corn,"55,093","44,075",0.800011254,northern bahr el ghazal,aweil east
Northern Bahr El Ghazal ,Aweil North ,2014,corn,"25,346","22,305",0.880020989,northern bahr el ghazal,aweil north
Northern Bahr El Ghazal ,Aweil South ,2014,corn,"11,836","11,362",0.959953025,northern bahr el ghazal,aweil south
Northern Bahr El Ghazal ,Aweil West ,2014,corn,"29,497","29,025",0.983998427,northern bahr el ghazal,aweil west
